State,City,Vehicle_Count,Vehicle_Class,Vehicle_Type,Fuel_Type,Region,Concentration_Type,Concentration_Description
Tennessee,Detroit,52,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Elgin,104,6,Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,San Diego,5,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Dayton,105,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Washington,Austin,61,8,Heavy Duty,EV,West,1,Substantially Concentrated
Colorado,New York City,143,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Illinois,Reading,42,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Akron,137,8,Heavy Duty,EV,West,1,Substantially Concentrated
Washington,Arlington,28,6,Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Lorain,96,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Laredo,140,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Chicago,61,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Jacksonville,124,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Tacoma,91,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Colorado,Lowell,114,8,Heavy Duty,EV,West,1,Substantially Concentrated
Massachusetts,Colorado Springs,52,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Westminster,39,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Laredo,83,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
North Carolina,Hialeah,145,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,New York City,69,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,Concord,82,8,Heavy Duty,EV,South,1,Substantially Concentrated
Tennessee,Murfreesboro,134,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Mesa,53,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Altoona,110,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
California,Naperville,12,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
California,Fort Collins,111,8,Heavy Duty,EV,West,1,Substantially Concentrated
Washington,Sterling Heights,47,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Los Angeles,13,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,New York City,29,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Gilbert,31,8,Heavy Duty,EV,West,1,Substantially Concentrated
Ohio,Plano,145,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Pennsylvania,New Rochelle,34,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Pennsylvania,Tallahassee,79,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Gilbert,47,6,Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Oakland,53,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Austin,119,6,Medium Duty,EV,South,1,Substantially Concentrated
Massachusetts,Glendale,118,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Roswell,26,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Lynn,74,6,Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Schenectady,61,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Tennessee,Youngstown,5,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Georgia,High Point,91,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Arizona,Utica,60,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Michigan,High Point,86,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,Peoria,8,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,Laredo,60,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Bethlehem,113,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Flint,115,8,Heavy Duty,EV,South,1,Substantially Concentrated
Illinois,Spokane,22,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Orlando,69,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Joliet,62,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Cincinnati,80,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Newton,115,8,Heavy Duty,EV,West,1,Substantially Concentrated
Georgia,Troy,82,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Bartlett,48,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Joliet,107,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Fresno,63,8,Heavy Duty,EV,South,1,Substantially Concentrated
Texas,Quincy,103,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Everett,95,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Houston,135,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Sterling Heights,149,6,Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Rochester,141,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Washington,Peoria,79,6,Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Roswell,98,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Cicero,103,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Fresno,33,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Illinois,Dearborn,148,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
California,High Point,143,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Utica,106,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Warren,144,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Colorado,Tampa,63,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Albany,132,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Memphis,51,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Rochester,111,8,Heavy Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Brockton,65,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Winston-Salem,82,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Utica,21,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Cape Coral,72,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Hialeah,150,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
California,Lansing,117,8,Heavy Duty,EV,West,1,Substantially Concentrated
Massachusetts,Hialeah,54,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Washington,Grand Rapids,26,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
North Carolina,Centennial,104,8,Heavy Duty,EV,South,1,Substantially Concentrated
Michigan,St. Petersburg,96,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Florida,Parma,58,6,Medium Duty,EV,South,1,Substantially Concentrated
Colorado,Johnson City,115,6,Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Fresno,98,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Clarksville,120,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Lynn,120,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Colorado Springs,49,6,Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Kent,19,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Florida,Harrisburg,99,8,Heavy Duty,CNG,South,1,Substantially Concentrated
California,Erie,86,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Fayetteville,55,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Waukegan,46,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Tennessee,Scottsdale,93,6,Medium Duty,EV,South,1,Substantially Concentrated
Michigan,Clarksville,144,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Denver,106,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Florida,Athens,58,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Cincinnati,108,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Columbus,82,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Austin,98,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Bartlett,19,8,Heavy Duty,EV,West,1,Substantially Concentrated
Illinois,Cambridge,33,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Grand Rapids,116,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Texas,Arvada,111,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Tallahassee,13,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Toledo,119,8,Heavy Duty,EV,South,1,Substantially Concentrated
Florida,Philadelphia,93,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Arvada,51,6,Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Troy,91,6,Medium Duty,CNG,South,1,Substantially Concentrated
California,Memphis,116,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Washington,Greensboro,22,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Scranton,93,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Lorain,18,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Livonia,101,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Florida,Fort Lauderdale,20,6,Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Naperville,53,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Georgia,Erie,77,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Scottsdale,16,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Federal Way,133,6,Medium Duty,EV,South,1,Substantially Concentrated
New York,Newton,39,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Lorain,9,8,Heavy Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Boston,113,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,Renton,37,6,Medium Duty,EV,South,1,Substantially Concentrated
Colorado,Oakland,126,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Illinois,Tucson,124,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Everett,21,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Vancouver,52,6,Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Oakland,86,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Arizona,Harrisburg,44,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Tucson,66,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Fort Collins,25,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Cicero,92,6,Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Grand Rapids,87,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Florida,Fort Collins,75,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Fresno,130,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Waukegan,93,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Pittsburgh,114,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,San Diego,67,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Phoenix,112,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Greensboro,95,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,Buffalo,143,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Dearborn,104,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Georgia,Macon,9,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Lakewood,20,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Dallas,94,6,Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Joliet,86,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Cape Coral,87,6,Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Long Beach,17,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Massachusetts,Tampa,8,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Laredo,61,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Washington,Allentown,132,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Washington,Bethlehem,75,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Canton,124,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Johns Creek,124,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Oakland,131,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Clarksville,12,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Lowell,26,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Arizona,High Point,135,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Texas,Reading,110,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Surprise,75,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Plano,84,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,High Point,18,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Johns Creek,79,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Tennessee,Waukegan,72,6,Medium Duty,CNG,South,1,Substantially Concentrated
Georgia,Cary,55,6,Medium Duty,EV,South,1,Substantially Concentrated
Michigan,Gilbert,17,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Illinois,Waukegan,65,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Joliet,45,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Tennessee,Harrisburg,39,8,Heavy Duty,EV,South,1,Substantially Concentrated
Tennessee,Youngstown,57,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Johns Creek,142,6,Medium Duty,CNG,South,1,Substantially Concentrated
California,Flint,91,8,Heavy Duty,EV,West,1,Substantially Concentrated
Michigan,Akron,41,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Massachusetts,Syracuse,30,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Brockton,91,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Pittsburgh,102,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Bethlehem,84,6,Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Bethlehem,16,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Phoenix,85,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Lowell,59,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Parma,76,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Rockford,14,8,Heavy Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Fort Lauderdale,38,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
New York,Rochester,143,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
North Carolina,Franklin,124,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Athens,27,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Altoona,144,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Tampa,68,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Bethlehem,148,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Los Angeles,35,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Scottsdale,19,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Dayton,20,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Everett,36,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
New York,Cape Coral,138,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Tampa,131,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Rochester,97,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Scottsdale,63,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Colorado,Livonia,106,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Macon,108,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Los Angeles,97,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Thornton,100,6,Medium Duty,EV,West,1,Substantially Concentrated
Massachusetts,Syracuse,92,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Elgin,79,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,Newton,119,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Cape Coral,26,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Georgia,Lowell,104,8,Heavy Duty,EV,South,1,Substantially Concentrated
Florida,Chandler,85,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Hialeah,38,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Utica,18,6,Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Cambridge,99,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Waukegan,100,8,Heavy Duty,EV,South,1,Substantially Concentrated
California,Mount Vernon,22,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Colorado,Centennial,9,8,Heavy Duty,CNG,West,1,Substantially Concentrated
New York,Laredo,125,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Arlington,20,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
California,Surprise,103,6,Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Chandler,29,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Winston-Salem,125,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Georgia,Syracuse,140,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Georgia,Phoenix,34,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Phoenix,139,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Quincy,119,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Lancaster,139,6,Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Chattanooga,120,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Lorain,63,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Texas,Johns Creek,44,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Laredo,99,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Pennsylvania,Cambridge,12,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Wilmington,9,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Orlando,90,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Mount Vernon,5,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,Fall River,5,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Roswell,87,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Massachusetts,Westminster,65,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Rochester,68,8,Heavy Duty,EV,South,1,Substantially Concentrated
Florida,Fall River,34,8,Heavy Duty,EV,South,1,Substantially Concentrated
Georgia,Elgin,115,6,Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Seattle,94,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Sterling Heights,92,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Spokane,67,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Denver,96,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Chicago,15,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Long Beach,80,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
California,Federal Way,58,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Wilmington,10,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Springfield,108,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Gilbert,97,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Colorado,Fall River,92,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Arizona,Lowell,38,6,Medium Duty,EV,West,1,Substantially Concentrated
New York,Lancaster,90,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Sacramento,112,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Illinois,Canton,14,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Buffalo,33,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Florida,Fresno,98,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Colorado,Port St. Lucie,109,6,Medium Duty,EV,West,1,Substantially Concentrated
Arizona,Albany,117,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Memphis,18,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Reading,22,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Schenectady,26,6,Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Sterling Heights,12,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Michigan,Worcester,144,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Austin,39,6,Medium Duty,CNG,West,1,Substantially Concentrated
California,Gilbert,64,8,Heavy Duty,EV,West,1,Substantially Concentrated
California,Dearborn,13,8,Heavy Duty,EV,West,1,Substantially Concentrated
Texas,Fort Lauderdale,86,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Arizona,St. Petersburg,77,8,Heavy Duty,EV,West,1,Substantially Concentrated
Texas,Bellevue,73,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Roswell,113,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,San Diego,34,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,Peoria,31,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Dayton,26,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Anaheim,8,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Grand Rapids,39,6,Medium Duty,CNG,South,1,Substantially Concentrated
New York,Durham,66,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,St. Petersburg,102,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Laredo,69,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Youngstown,64,6,Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Clarksville,25,8,Heavy Duty,EV,South,1,Substantially Concentrated
Colorado,Knoxville,148,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Canton,31,6,Medium Duty,EV,West,1,Substantially Concentrated
Washington,Port St. Lucie,91,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Durham,115,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
California,Warren,125,6,Medium Duty,EV,West,1,Substantially Concentrated
California,Corpus Christi,31,6,Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Tucson,37,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Sterling Heights,53,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Erie,54,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
New York,Mount Vernon,74,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,Elgin,24,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Augusta,127,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Tallahassee,138,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Washington,Cape Coral,115,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Pennsylvania,Westminster,54,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Tennessee,Utica,77,8,Heavy Duty,EV,South,1,Substantially Concentrated
Ohio,San Diego,93,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Massachusetts,Akron,148,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Pittsburgh,32,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Arizona,Miami,102,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Bakersfield,7,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Yonkers,99,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Philadelphia,135,6,Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Harrisburg,51,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Knoxville,89,6,Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Los Angeles,145,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Jacksonville,113,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Cleveland,9,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Massachusetts,Glendale,23,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
New York,Detroit,67,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Spokane,114,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Long Beach,84,8,Heavy Duty,EV,West,1,Substantially Concentrated
Arizona,San Diego,147,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Fall River,116,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Tacoma,122,6,Medium Duty,EV,South,1,Substantially Concentrated
Washington,Dallas,65,6,Medium Duty,EV,West,1,Substantially Concentrated
Arizona,Memphis,45,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Austin,69,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Tucson,145,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,Orlando,122,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Ohio,Sandy Springs,12,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Troy,19,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Reading,87,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Newton,108,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Lancaster,120,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Tennessee,Greensboro,126,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Memphis,148,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
California,Vancouver,37,6,Medium Duty,EV,West,1,Substantially Concentrated
New York,Cape Coral,35,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Long Beach,57,6,Medium Duty,CNG,South,1,Substantially Concentrated
